Textbox151,Textbox8,InventLocationId1,InventLocationName,Textbox153,Textbox45,Textbox46,Textbox47,Textbox63,Textbox48,Textbox90,Textbox104,Textbox131,CustAccount,CustName,LogisticsAddressStreet,LogisticsAddressZipCodeId,LogisticsAddressCity,LogisticsAddressCountryRegionId,SalesId,CustomerRef,CarrierName,Textbox41,Textbox70,Textbox42,Textbox43,Textbox64,Textbox118,Textbox44,Textbox123,Textbox92,Textbox128,Textbox114,Textbox133,SalesOriginId,ItemId,ItemName1,DlvDate1,SalesQty,RemainSalesPhysical,InventQtyPicked,InventQtyPickRemain,toProcessQty,InventQtyOnHand,PickingListId,ToProcess
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1005,Advance Security & Alarm Products,"4 Alistair Place

Please press door bell, if no one answers please leave under park bench at front door.
",2155,Kellyville,AUS,SO044118,Email Order,Customer,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,SPHKA2R10,HYKE New Gen. Central Replacement *** HKA2-COMPATIBLE***,2024-04-04,1,1,0,1,1,3,83475_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1005,Advance Security & Alarm Products,"4 Alistair Place

Please press door bell, if no one answers please leave under park bench at front door.
",2155,Kellyville,AUS,SO044118,Email Order,Customer,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,F210,Photocell adjustable 210°,2024-04-04,2,2,0,2,2,34,83476_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1008,Alarm Services Aust Pty Ltd,14 Maluka St,7018,Bellrive,AUS,SO043894,,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,XME2124,1 x Irreversible electromechanical 24Vdc gear motor,2024-04-01,1,1,0,1,1,0,83131_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1008,Alarm Services Aust Pty Ltd,14 Maluka St,7018,Bellrive,AUS,SO043894,,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,XME2124,1 x Irreversible electromechanical 24Vdc gear motor,2024-04-01,1,1,0,1,1,0,83132_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1032,BLOCKOUT INDUSTRIES PTY LTD,"194 NEWTON ROAD
WETHERILL PARK",2164,Wetherill Park,AUS,SO044116,Luke,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,FLO4R-S,4 channels roll.code transmit.,2024-04-04,1,1,0,1,1,58,83470_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1034,Brisbane Automatic Gate Systems,Unit 10 7/9 Grant Street,4163,Cleveland,AUS,SO043804,Stock,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,ON4E,"Trasm. Era One, 4 canali",2024-04-01,30,3,0,3,0,0,83120_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1034,Brisbane Automatic Gate Systems,Unit 10 7/9 Grant Street,4163,Cleveland,AUS,SO043836,,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,WA12R01,Mobile stand for bars - New fully reinforced version,2024-04-29,2,2,0,2,0,0,83124_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1043,Cash Sales Nice,8 Bennet Ave,5039,Melrose Park,AUS,SO044114,tetsing for paul j,Customer,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,3.01702E+11,"Fibaro Dimmer 2 250W FGD 212 921,4 MHz",2024-04-03,1,1,0,1,1,301,83461_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1050,Create Security,"Unit 1, 237 Fleming Road",4174,Hemmant,AUS,SO043557,P1495,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,CRE 630P3DR-AGB,"630P .75kw 2 Pole Cab SS 3Dr-AGB
",2024-05-17,1,1,0,1,0,0,,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1050,Create Security,"Unit 1, 237 Fleming Road",4174,Hemmant,AUS,SO043557,P1495,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,CRE 630P3DR-AGB,"630P .75kw 2 Pole Cab SS 3Dr-AGB
",2024-05-17,1,1,0,1,0,0,,No
